Name,% Docs Cited,Web of Science Documents,Collab-CNCI,Rank,Times Cited,Affiliation,Web of Science ResearcherID,Category Normalized Citation Impact,ORCID,All Open Access Documents,Non-Open Access Documents,% All Open Access Documents,H-Index,% Non-Open Access Documents,Hot Papers
"Del Bosque, Darcy",100.0,1,0.2419,103,3,University of Nevada Las Vegas; Nevada System of Higher Education (NSHE); University of Kansas; University of Texas at San Antonio (UTSA); University of Texas System; Texas A&M International University; Texas A&M University System,GEI-2786-2022,0.1631,0000-0002-2716-8984,0,1,0.0,1,100.0,0
"Muzvondiwa, Ishewakatipa",100.0,1,0.2247,103,3,Sol Plaatje Univ; University of South Africa,FNM-4390-2022,0.2169,,0,1,0.0,1,100.0,0
"Holley, Robert P",100.0,1,0.1042,120,2,Wayne State University; Yale University; University of Utah; Utah System of Higher Education; Univ Lib; ALA Comm Accreditat,A-3499-2014,0.1051,0000-0002-9011-6503,0,1,0.0,1,100.0,0
"Pomputius, Ariel",100.0,1,0.149,120,2,University of Florida; State University System of Florida,JFJ-5010-2023,0.1012,0000-0003-1731-4666,1,0,100.0,1,0.0,0
"Edwards, Mary E",100.0,1,0.149,120,2,University of Florida; State University System of Florida; University of Southampton; Univ Florida Hlth Sci Ctr Lib,E-9406-2012,0.1012,,1,0,100.0,1,0.0,0
"Norton, Hannah F",100.0,1,0.149,120,2,University of Florida; State University System of Florida; Univ Florida Hlth Sci Ctr Lib,D-8497-2011,0.1012,0000-0001-8062-2763,1,0,100.0,1,0.0,0
"Lee, Jungyeoun",100.0,1,0.37060000000000004,120,2,Joongbu University,KBL-8063-2024,0.35860000000000003,,1,0,100.0,1,0.0,0
"Tennant, Michele R.",100.0,1,0.149,120,2,Univ Florida Hlth Sci Ctr Lib; University of Florida; State University System of Florida; Univ Floridas; Genet Inst Inc,DZM-6270-2022,0.1012,0000-0002-8439-6772,1,0,100.0,1,0.0,0
"Thomas, Michele",100.0,1,0.0713,126,1,University of Arkansas System; University of Arkansas Fayetteville; University of Arkansas Little Rock,EBH-8944-2022,0.1027,,0,1,0.0,1,100.0,0
"Rehman, Shafiq Ur",100.0,1,0.1903,126,1,University of Agriculture Faisalabad; University of Punjab; Univ Agr Faisalabad; Imam Abdulrahman Bin Faisal University; University of Duisburg Essen; Umea University; Natl Seism Monitoring Ctr; Universite de Lille,A-5856-2017,0.5436,0000-0002-8169-0132,0,1,0.0,1,100.0,0
"Berndtson, Maija",100.0,1,0.0146,126,1,Helsinki City Lib; Finnish Lib Assoc; Espoo City Lib; IFLA; Bertelsmann Fdn,CGR-3001-2022,0.052500000000000005,,0,1,0.0,1,100.0,0
"Perez-Benito, Charo",100.0,1,0.07100000000000001,126,1,University of Sevilla,DWA-5538-2022,0.046200000000000005,0000-0002-8981-1736,1,0,100.0,1,0.0,0
"DeLancey, Laura",100.0,1,0.0521,126,1,Western Kentucky University,G-2828-2015,0.052500000000000005,0000-0002-1979-1928,0,1,0.0,1,100.0,0
"Mahmood, Khalid",100.0,1,0.1903,126,1,"University of Punjab; Sarhad Univ; Bahauddin Zakariya University; Gomal University; University of Engineering & Technology Lahore; Univ Engn & Technol Lahore; Cotton Res Inst; Baha Uddin Zakariya Univ; Bahauddin Zakariya Univ; HITEC University; Rothamsted Res North Wyke; Rothamsted Research; UK Research & Innovation (UKRI); Biotechnology and Biological Sciences Research Council (BBSRC); Hazara University; Washington University (WUSTL); Quaid E Azam Acad Educ Dev; Government College University Faisalabad; University of Balochistan; International Islamic University, Pakistan; Nuclear Institute for Agriculture & Biology - Pakistan; Abbottabad Univ Sci & Technol; Univ Okara; Imam Abdulrahman Bin Faisal University; Iqra Natl Univ; Cotton Res Stn; Iqra Natl Univ Peshawar; Ayub Agr Res Inst; University of Agriculture Faisalabad; Polytechnic University of Turin; University of Engineering & Technology Taxila; Vegetable Res Inst; Univ Punjab; Pakistan Lib Automat Grp",B-1160-2008,0.5436,0000-0003-1601-7168,0,1,0.0,1,100.0,0
"Scupola, Ada",100.0,1,0.1356,126,1,Roskilde University,DXL-8738-2022,0.1328,0000-0002-3537-7639,0,1,0.0,1,100.0,0
"Lobato, Carmen",100.0,1,0.07100000000000001,126,1,University of Sevilla,FIS-4712-2022,0.046200000000000005,,1,0,100.0,1,0.0,0
"Ingalls, Dana",100.0,1,0.07490000000000001,126,1,McGill University; Macdonald Campus Lib,CWB-3924-2022,0.0723,,0,1,0.0,1,100.0,0
