Name,% Docs Cited,Web of Science Documents,Collab-CNCI,Rank,Times Cited,Affiliation,Web of Science ResearcherID,Category Normalized Citation Impact,ORCID,All Open Access Documents,Non-Open Access Documents,% All Open Access Documents,H-Index,% Non-Open Access Documents,Hot Papers
"Chiu, Dickson K. W.",100.0,5,2.59816,1,194,Lingnan University; University of Hong Kong; University of Guam; Hongkong Univ; University of Tsukuba; City University of Hong Kong; Hong Kong Baptist University; Dickson Comp Syst; Hong Kong Polytechnic University; Dickinson Comp Sys; Hong Kong University of Science & Technology; Dickson Comp; Chinese University of Hong Kong; Dickinson Comp Syst; Dickson Comp Sys; Eastbourne Dist Gen Hosp; Dickson Computing syst,B-9630-2017,2.72146,0000-0002-7926-9568,0,5,0.0,5,100.0,0
"kim, y",100.0,3,1.8033333333333335,2,110,University of Southern California; Children's Hospital Los Angeles; University of Oklahoma - Tulsa; University of Oklahoma System; University Southern California Hospital; Seoul National University (SNU); Soonchunhyang University; Korea Institute of Geoscience & Mineral Resources (KIGAM); University of Michigan; University of Michigan System; University of Ulsan; University of Oklahoma - Norman; CHLA USC; Asan Medical Center; Boston Children's Hospital; Harvard University Medical Affiliates; Harvard University; Sch Informat,AAR-6095-2020,1.3314333333333335,0000-0003-3793-6438,1,2,33.33,3,66.67,0
"Lam, Ernest",100.0,2,2.1301,3,100,Epic Sci; Hong Kong Polytechnic University; Hong Kong Acad Performing Arts; University of Hong Kong,KFA-6459-2024,2.73625,,0,2,0.0,2,100.0,0
"Abbas, June",100.0,1,4.4824,4,92,"University of Oklahoma - Norman; University of Oklahoma System; University at Buffalo, SUNY; State University of New York (SUNY) System",AAD-1062-2019,3.2508000000000004,0000-0001-8509-6061,0,1,0.0,1,100.0,0
"Lam, Apple H. C.",100.0,2,3.2319000000000004,5,85,University of Hong Kong,GDD-9519-2022,3.2605500000000003,0000-0002-2587-6979,0,2,0.0,2,100.0,0
"Choi, Namjoo",100.0,3,1.8332333333333333,6,76,University of Kentucky,DVI-5069-2022,1.3821333333333332,0000-0002-2281-5046,0,3,0.0,3,100.0,0
"Joo, Soohyung",100.0,3,1.8332333333333333,6,76,University of Kentucky; University of Wisconsin Milwaukee; University of Wisconsin System,CVY-9715-2022,1.3821333333333332,,0,3,0.0,3,100.0,0
"Cheng, Wesley Wing Hong",100.0,1,2.6561,8,51,University of Hong Kong,CLL-2542-2022,2.68,,0,1,0.0,1,100.0,0
"Au, Cheuk Hang",100.0,1,1.6041,9,49,Edith Cowan University; National Chung Cheng University; University of Sydney; Dept Informat Management; Chinese University of Hong Kong,FZM-3033-2022,2.7925,0000-0002-2121-8573,0,1,0.0,1,100.0,0
"Baek, Tae Hyun",100.0,1,2.9963,10,46,Sungkyunkwan University (SKKU); University of Kentucky; Indiana University System; Indiana University Southeast; University of Georgia; University System of Georgia,JGD-1912-2023,2.1918,0000-0003-2000-698X,0,1,0.0,1,100.0,0
"Chan, TTC",100.0,1,3.3905000000000003,11,45,University of Hong Kong,CKH-1618-2022,2.3647,,0,1,0.0,1,100.0,0
"Jones, Michael J",100.0,1,2.3019000000000003,12,42,Barton Peveril Sixth Form Coll,HNI-9432-2023,2.3936,,0,1,0.0,1,100.0,0
"Harvey, Morgan",100.0,1,2.3019000000000003,12,42,University of Sheffield; Virginia Polytechnic Institute & State University; Naval Medical Center San Diego; United States Navy; United States Department of Defense; Northumbria University; Universita della Svizzera Italiana; Portland State University; University of Erlangen Nuremberg; University of Strathclyde,DXB-3038-2022,2.3936,0000-0001-5504-2089,0,1,0.0,1,100.0,0
"Ireland, Ashley",100.0,1,1.7207000000000001,14,41,Murray State University,B-4949-2009,1.8936000000000002,0000-0001-6999-3053,1,0,100.0,1,0.0,0
"Hackathorn, Jana",100.0,1,1.7207000000000001,14,41,Murray State University; Saint Louis University,EXZ-8686-2022,1.8936000000000002,,1,0,100.0,1,0.0,0
"Murray, Adam",100.0,1,1.7207000000000001,14,41,James Madison University; Murray State University,GCF-1732-2022,1.8936000000000002,0000-0002-6294-2031,1,0,100.0,1,0.0,0
"Ho, Kai Wing Kevin",100.0,1,3.0733,17,40,University of Tsukuba; University of Guam; Hong Kong University of Science & Technology,E-8297-2013,4.1564000000000005,0000-0003-1304-0573,0,1,0.0,1,100.0,0
"Sørensen, Kristian Møhler",100.0,3,0.6059333333333333,17,40,University of Southern Denmark,ABH-4048-2020,0.46026666666666677,0000-0001-6569-390X,0,3,0.0,2,100.0,0
"Wang, Yuan",100.0,1,0.9885,19,39,Tsinghua University; Tsinghua Shenzhen International Graduate School; Beijing Natl Res Ctr Informat Sci & Technol BNRis; Air Force CPLA; Guizhou University,OGL-1570-2025,1.9317000000000002,,0,1,0.0,1,100.0,0
"Han, Lifeng",100.0,1,0.9885,19,39,Tsinghua University,C-9847-2012,1.9317000000000002,0000-0001-8412-2344,0,1,0.0,1,100.0,0
"Luo, Li-li",100.0,1,0.9885,19,39,"Fourth Peoples Hosp Nanning; Chinese Academy of Agricultural Sciences; Biotechnology Research Institute, CAAS; Third Hosp Mianyang; Sichuan University; Huazhong University of Science & Technology; Hubei Clin & Res Ctr Thrombosis & Haemostasis; Lanzhou University; Capital Medical University; Nanjing University of Chinese Medicine; Children Sichuan Univ; Anhui University of Chinese Medicine; Tianjin Medical University; San Jose State University; California State University System; China Agricultural University; Suzhou Institute of Trade & Commerce (SITC); South China University of Technology; Duanbolan Hlth Ctr Jimo Dist; Sci & Technol Innovat Pk; Jiangxi Normal University; Beijing Municipal Key Lab Clin Epidemiol; Xiamen University; Hubei Clin Med Ctr Cell Therapy Neoplast Dis; Key Lab Biol Targeted Therapy Hubei Prov; Shantou University; Fujian Medical University; Harbin Medical University; West China Second Univ Hosp; Jilin University; Northwest A&F University - China; Chinese Academy of Engineering Physics; Sun Yat Sen University; State Key Lab Oncology South China; Chinese Academy of Sciences; Institute of Geographic Sciences & Natural Resources Research, CAS; Inst Res Design Librarianship; Zhengzhou Normal University; Hubei Clin & Res Ctr Thrombosis & Hemostasis; Chongqing Normal University; Inst Res Design Librarianship IRDL; Qingdao University; Guizhou University of Traditional Chinese Medicine; Nanchang University; Wenzhou Medical University; Southern Zhejiang Water Res Inst iWATER; Guangdong Pharmaceutical University; Shaanxi Inst Int Trade & Commerce; San Jose CA State Univ; China National Rice Research Institute, CAAS; Hangzhou Normal University; Weifang Tradit Chinese Med Hosp; Sci & Technol Surface Phys & Chem Lab; Natl Assoc Social Workers; Beijing Normal University; Hebi Coll Vocat & Technol; Gansu Agricultural University; Southwest University - China; University of North Carolina; University of North Carolina Chapel Hill; Dalian University of Technology",KFP-2086-2024,1.9317000000000002,,0,1,0.0,1,100.0,0
"Stemmer, John",100.0,1,1.3010000000000002,22,31,Bellarmine University,CCT-6056-2022,1.4317,,1,0,100.0,1,0.0,0
"Mahan, David M.",100.0,1,1.3010000000000002,22,31,University of Florida; State University System of Florida; Manhattan University,FJA-1257-2022,1.4317,,1,0,100.0,1,0.0,0
"Yao, Fei",100.0,1,1.7870000000000001,24,30,Tsinghua University; Tsinghua Shenzhen International Graduate School; Jinan University; Shenzhen Eye Hospital; Luoyang Elect Equipment Testing Ctr; Beijing University of Chemical Technology; Hunan University; Tiangong University,IPT-8530-2023,1.3442,,0,1,0.0,1,100.0,0
"Bruce, Christine S",100.0,1,2.4194,24,30,James Cook University; University Health Network Toronto; University of Toronto; UK Health Security Agency (UKHSA); Sinai Health System Toronto; Lunenfeld Tanenbaum Research Institute; UK Higher Educ Acad; University of Southern Queensland; Queensland University of Technology (QUT); Higher Educ Acad; Res Training Sci & Engn Fac; Univ Higher Educ Res Network; University of Manitoba; York University - Canada; Public Health England,A-3827-2012,1.6314000000000002,0000-0002-5809-0702,0,1,0.0,1,100.0,0
"Chen, W.",100.0,1,1.7870000000000001,24,30,Tsinghua University; NCS Testing Technol Co Ltd; China Iron & Steel Research Institute Group; State Grid Corporation of China,IJP-8864-2023,1.3442,,0,1,0.0,1,100.0,0
"Harland, Fiona",100.0,1,2.4194,24,30,Queensland University of Technology (QUT),GFM-4605-2022,1.6314000000000002,0000-0002-3178-734X,0,1,0.0,1,100.0,0
"Stewart, Glenn",100.0,1,2.4194,24,30,University of Sydney; Royal North Shore Hospital; Griffith University; Mayo Clinic; Enfield Borough Council; Sch Hlth Sci & Social Work; Prince Charles Hospital; Griffith University - Gold Coast Campus; California State Polytechnic University Pomona; California State University System; Menzies Health Institute Queensland; Queensland University of Technology (QUT); London Borough Enfield; Concord Repatriation General Hospital; Concord Gen & Repatriat Hosp; W Coast Eagles Football Club,JJU-7768-2023,1.6314000000000002,,0,1,0.0,1,100.0,0
"Kwon, Nahyun",100.0,2,0.5155000000000001,24,30,Seoul National University (SNU); Ulsan National Institute of Science & Technology (UNIST); Myongji University; Ewha Womans University; Nagoya University; Japan Society for the Promotion of Science; University of Queensland; University of South Florida; State University System of Florida,MPQ-7999-2025,0.8222,,2,0,100.0,2,0.0,0
"Zhang, Chengyu",100.0,1,1.7870000000000001,24,30,"Dongguan University of Technology; Shandong University; Minist Educ; Northwestern Polytechnical University; Shanghai University; University of Chinese Academy of Sciences, CAS; RCEES IMCAS UCAS Joint Lab Microbial Technol Envir; East China University of Science & Technology; Chinese Academy of Sciences; Institute of Microbiology, CAS; Tiangong University; Shanxi Normal University; Jiangnan University; Southwest Medical University; Jilin University; Binzhou Inst Technol; King's College London; University of London; Guizhou Wire Rope Co Ltd; Cell Therapy & Cell Drugs Luzhou Key Lab; South Sichuan Inst Translat Med; Minist Ind & Informat Technol; Nanjing University of Aeronautics & Astronautics; Fujian Institute of Research on the Structure of Matter, CAS; Fujian Normal University; Hunan University; Sun Yat Sen University; Guangdong Pharmaceutical University; Soochow University - China; Beijing University of Technology; Anhui University of Technology; National University of Singapore; Shanghai Jiao Tong University; Guizhou Steel Rope Grp Co Ltd; Nanjing Forestry University; Qilu University of Technology; Shandong Inst Mech Design & Res; Hubei Engineering University; Hubei Engn Res Ctr Key Technol Modern Paper & San; Shanghai Ocean University; Wuhan Polytechnic University; Peoples Hosp Jiangbei Dist; Beijing Normal University; Institute of Metal Research, CAS; University of Science & Technology of China, CAS; Beijing Institute of Technology; North Automat Control Technol Inst; Northeastern Univ; Fujian Agriculture & Forestry University; Wuhan University of Technology; University College London; Institute of Biophysics, CAS; Capital Medical University; RCEES IMCAS UCAS Joint Lab Microbial Technol Envi; Yangzhou University; Southeast University - China; Hunan Normal University; Zhejiang Sci-Tech University; Beijing Forestry University; Tianjin University; Nanjing Tech University; Inst Flexible Elect Technol THU; Jiaxing Key Lab Flexible Elect based Intelligent S; Jiaxing Key Lab Flexible Elect Based Intelligent; Shenyang University of Technology; Nanjing Agricultural University; Xia Commun Technol; MIIT; Tianjin University of Traditional Chinese Medicine; China Pharmaceutical University; Geely; Shihezi University; Henan Agricultural University; Anhui University; Technical University of Munich; Shenyang Aerospace University; Alicmgbei Dist Peoples Hosp; Beijing Jiaotong University; Hebei University of Engineering; Zhejiang University; Qingdao Binhai University; Sichuan University; Chinese Academy of Agricultural Sciences; Lanzhou Veterinary Research Institute, CAAS; Tsinghua University; Peking University; Peking University Shenzhen Graduate School (PKU Shenzhen); Luebeck University of Applied Sciences; Nanjing Medical University; Liao He Oilfield; Beihang University; Nanjing University; Mudanjiang Medical University",JWG-7717-2024,1.3442,0000-0002-2735-3805,0,1,0.0,1,100.0,0
"Audunson, Ragnar",100.0,1,0.6604,31,28,Oslo Metropolitan University (OsloMet); University of Oslo; Oslo Metropolitan Coll; Norwegian Res Councils; European Org Educ & Res LIS; IFLA Standing Comm; Organizing Comm IFLA,GCK-2016-2022,1.2858,0000-0003-3617-9498,1,0,100.0,1,0.0,0
"Huysmans, Frank",100.0,1,0.6604,31,28,University of Amsterdam; Social & Cultural Planning Off,GEJ-6118-2022,1.2858,0000-0002-3468-9032,1,0,100.0,1,0.0,0
"Oomes, Marjolein",100.0,1,0.6604,31,28,Koninklijke Bibliotheek; Netherlands Inst Publ Lib SIOB; Netherlands Inst Publ Lib; Prov Serv Org Lib Cubiss,FOK-1366-2022,1.2858,,1,0,100.0,1,0.0,0
"Aabo, Svanhild",100.0,1,0.6604,31,28,Oslo Metropolitan University (OsloMet); Norwegian Natl Lib,EKR-9758-2022,1.2858,,1,0,100.0,1,0.0,0
"Vakkari, Pertti",100.0,1,0.6604,31,28,Tampere University,AAJ-6715-2021,1.2858,0000-0002-4441-5393,1,0,100.0,1,0.0,0
"Sin, Sei-Ching Joanna",100.0,1,0.6604,31,28,Nanyang Technological University; University of Wisconsin Madison; University of Wisconsin System,G-5749-2010,1.2858,0000-0003-2432-4993,1,0,100.0,1,0.0,0
"Rowley, Jennifer",100.0,1,1.1546,37,24,Manchester Metropolitan University; Southampton Childrens Hosp; University of Southampton; British Comp Soc; Chartered Management Inst; Aston University; Bangor University,DWX-2289-2022,0.9447000000000001,0000-0003-3756-5438,0,1,0.0,1,100.0,0
"Vasileiou, Magdalini",100.0,1,1.1546,37,24,Manchester Metropolitan University,ITZ-9536-2023,0.9447000000000001,,0,1,0.0,1,100.0,0
"Yi, George",100.0,1,0.46940000000000004,39,20,Charles Sturt University; Xima High Sch; 1 Qianyang Senior High Sch; Guangdong University of Technology; Hepo Senior High Sch Jiexi Cty; Chinese Amer Librarians Assoc CALA; Australian Lib & Informat Assoc; Texas Womans University; Southern Connecticut State University; Connecticut State University System,AAQ-2715-2021,0.9237000000000001,,0,1,0.0,1,100.0,0
"Stvilia, Besiki",100.0,1,1.5323,40,19,Florida State University; State University System of Florida,S-3519-2019,1.0332000000000001,0000-0002-2428-6627,0,1,0.0,1,100.0,0
"Gibradze, Leila",100.0,1,1.5323,40,19,Florida State University; State University System of Florida,DYD-8936-2022,1.0332000000000001,0000-0002-7469-1479,0,1,0.0,1,100.0,0
"Ihejirika, Kingsley T.",100.0,2,0.7579,42,18,Victoria University Wellington,CUQ-3146-2022,0.66305,,0,2,0.0,2,100.0,0
"Garoufallou, Emmanouel",100.0,1,0.4304,43,17,International Hellenic University; Veria Cent Publ Lib,CQS-5464-2022,0.24650000000000002,,0,1,0.0,1,100.0,0
"Vassilakaki, Evgenia",100.0,1,0.4304,43,17,EIOPA; Natl Lib Greece; University of West Attica; Manchester Metropolitan Univ0,GEX-0665-2022,0.24650000000000002,0000-0003-3767-4335,0,1,0.0,1,100.0,0
"Ely, Eric R.",100.0,1,1.6065,43,17,University of Wisconsin Madison; University of Wisconsin System; Animal & Plant Health Agency UK; Anim Hlth & Vet Labs Agcy AHVLA; Veterinary Laboratories Agency,DVG-2279-2022,1.1595,0000-0002-6479-2751,1,0,100.0,1,0.0,0
"Goulding, Anne",100.0,1,1.1302,46,15,Victoria University Wellington; Te Herenga Waka Victoria Univ Wellington; EyeKor; OSOD LLC; Ocular Serv Demand OSOD LLC; University of Wisconsin Madison; University of Wisconsin System; OSOD Ocular Serv Demand LLC; Loughborough University,GCQ-4048-2022,0.7882,0000-0001-7961-5873,0,1,0.0,1,100.0,0
"Calvert, Philip J.",100.0,1,1.1302,46,15,Victoria University Wellington,GXK-8779-2022,0.7882,0000-0002-8116-4976,0,1,0.0,1,100.0,0
"Wu, Ko-Chiu",100.0,1,1.0486,48,14,National Taipei University of Technology,CHD-9627-2022,1.0122,,0,1,0.0,1,100.0,0
"Harper, Lindsey M.",100.0,1,0.7673,48,14,Marshall University; Marshall Univ Lib,DYI-8501-2022,0.7979,0000-0001-5065-4502,0,1,0.0,1,100.0,0
"Shim, J.",100.0,1,2.1498,48,14,Yonsei University; Seoul National University Hospital; Seoul National University (SNU); Yonsei University Health System,DST-3009-2022,2.2302,,0,1,0.0,1,100.0,0
"Park, Ji Hong",100.0,1,2.1498,48,14,Kangwon National University; Yonsei University; Korea Institute of Science & Technology (KIST); Samsung Medical Center; Korea Disease Control & Prevention Agency (KDCA); Sungkyunkwan University (SKKU); Korea CDC Center for Disease Prevention; Korea Natl Def Univ; Korea Advanced Institute of Science & Technology (KAIST); Hallym University; Jeonbuk National University; Royal Anim Med Ctr; Syracuse University,JPT-9708-2023,2.2302,0000-0001-5403-9750,0,1,0.0,1,100.0,0
"Yang, Tsung-Ying",100.0,1,1.0486,48,14,Mackay Medical University; Waseda University; Kaohsiung Medical University; Taichung Veterans General Hospital; National Chung Hsing University; I Shou University; Taiwan Union Lab Gem Res Taipei; National Cheng Kung University; Taiwan Union Lab Gem Res; Microsoft Taiwan Corp; National Chiayi University; China Medical University Taiwan; National Yunlin University Science & Technology; National Tsing Hua University,FZQ-7233-2022,1.0122,0000-0001-8579-0299,0,1,0.0,1,100.0,0
"Faulkner, Ashley E.",100.0,1,1.0433000000000001,48,14,Princeton University; Texas A&M University System; Texas A&M University College Station,EXY-4234-2022,0.7085,,0,1,0.0,1,100.0,0
"Moore, Anne C.",100.0,1,0.9795,54,13,University College Cork; Natl Inst Bioproc Res & Training; Natl Inst Bioproc Res & Training NIBRT; University of North Carolina Charlotte; University of North Carolina; University of South Dakota; University of Massachusetts Amherst; University of Massachusetts System,LOA-8542-2024,0.6831,0009-0002-8869-4280,0,1,0.0,1,100.0,0
"Croxton, Rebecca A.",100.0,1,0.9795,54,13,Colorado State University Fort Collins; Colorado State University System; University of North Carolina Charlotte; University of North Carolina; University of North Carolina Greensboro; Johnson & Wales University,KIE-9321-2024,0.6831,0000-0002-2045-5251,0,1,0.0,1,100.0,0
"Black, Elizabeth L. L",100.0,1,0.8788,54,13,Ohio State University; University System of Ohio,B-1696-2013,0.6439,0000-0002-5018-7219,1,0,100.0,1,0.0,0
"Murphy, Sarah A.",100.0,1,0.8788,54,13,Massachusetts General Hospital; Harvard Medical School; Harvard University Medical Affiliates; Brigham & Women's Hospital; Baylor College Medical Hospital; Baylor College of Medicine; Soc Vasc Surgery; Ohio State University; University System of Ohio; Massachusetts Gen Hosp Children; University of Toronto; Amer Orthopaed Assoc; University of South Carolina Columbia; University of South Carolina System; Harvard University,NLD-3598-2025,0.6439,0000-0002-7787-6890,1,0,100.0,1,0.0,0
"Aslam, Mohammad",100.0,1,1.302,58,12,Yeungnam University; Gopalganj Science & Technology University (GSTU); University of Nizwa; King Fahad Medical City; National University of Sciences & Technology - Pakistan; Drake & Scull Construct,DVN-4376-2022,0.8676,0000-0003-4852-3583,0,1,0.0,1,100.0,0
"Min, Fu",100.0,1,11.2462,59,11,Shangri la Kangmei Dairy Prod Co Ltd; Jiangsu Inst Commerce,LTQ-9090-2024,9.1393,,1,0,100.0,1,0.0,0
"Young, Philip",100.0,1,0.3381,60,10,Virginia Polytechnic Institute & State University,GFB-1102-2022,0.4374,0000-0001-8097-1592,1,0,100.0,1,0.0,0
"Pethrick, Helen",100.0,1,0.47390000000000004,60,10,University of Calgary,GDU-0926-2022,0.3557,0000-0002-9586-5095,1,0,100.0,1,0.0,0
"Ganshorn, Heather",100.0,1,0.47390000000000004,60,10,University of Calgary; Support Our Students Alberta; Taylor Family Digital Lib; Blusson Spinal Cord Ctr; Libin Cardiovascular Institute Of Alberta; Univ Calgary Lib & Cultural Resources; Hlth Informat Network Calgary,E-6423-2015,0.3557,0000-0002-0410-4232,1,0,100.0,1,0.0,0
"Sadatmoosavi, Ali",100.0,1,0.5208,60,10,Kerman University of Medical Sciences; Islamic Azad University; University of Tehran,M-9587-2016,0.5255000000000001,0000-0001-6800-3345,0,1,0.0,1,100.0,0
"Timakum, Tatsawan",100.0,1,0.7535000000000001,60,10,Chiang Mai Rajabhat University; Yonsei University,AAX-5162-2020,0.5255000000000001,0000-0002-9877-0323,0,1,0.0,1,100.0,0
"Khasseh, Ali Akbar",100.0,1,0.5208,60,10,Payame Noor University,W-4434-2017,0.5255000000000001,0000-0001-5664-4671,0,1,0.0,1,100.0,0
"Kim, Giyeong",100.0,1,0.7535000000000001,60,10,Yonsei University,FYN-9768-2022,0.5255000000000001,0000-0001-6297-639X,0,1,0.0,1,100.0,0
"song, min",100.0,1,0.7535000000000001,60,10,Yonsei University; 50 Yonsei ro; Onoma AI; Harvard University; New Jersey Institute of Technology; New Jersey Inst Technol; Air Force Engineering University; Temple University; Pennsylvania Commonwealth System of Higher Education (PCSHE),KPA-7030-2024,0.5255000000000001,0000-0003-3255-1600,0,1,0.0,1,100.0,0
"Hayden, K. Alix",100.0,1,0.47390000000000004,60,10,University of Calgary,DWE-3260-2022,0.3557,0000-0002-0057-1327,1,0,100.0,1,0.0,0
"Vilelle, Luke",100.0,1,0.3381,60,10,Hollins Univ; Univ Libraries Virginia Tech; Virginia Polytechnic Institute & State University,CDY-8177-2022,0.4374,,1,0,100.0,1,0.0,0
"Lee, Jennifer",100.0,1,0.47390000000000004,60,10,University of Calgary,DVI-0684-2022,0.3557,0000-0002-9588-8078,1,0,100.0,1,0.0,0
"Tajedini, Oranus",100.0,1,0.5208,60,10,Shahid Bahonar University of Kerman (SBUK),GCZ-0458-2022,0.5255000000000001,0000-0003-1963-2115,0,1,0.0,1,100.0,0
"Afzali, Mahin",100.0,1,0.5208,60,10,Iran Publ Lib Fdn,CAK-9205-2022,0.5255000000000001,,0,1,0.0,1,100.0,0
"Kwan, YK",100.0,1,2.2668,73,9,University of Hong Kong; Hong Kong Polytechnic University,CZE-0016-2022,1.6137000000000001,,0,1,0.0,1,100.0,0
"Arshad, Alia",100.0,1,1.5265,73,9,University of Punjab,EJH-3168-2022,1.0384,,0,1,0.0,1,100.0,0
"Mushtaq, Ayesha",100.0,1,1.5265,73,9,"Fatima Jinnah Women University (FJWU), Rawalpindi; University of Punjab; International University of Kyrgyzstan; International Higher School of Medicine (IHSM); Universal Scientific Education & Research Network (USERN); Gulab Devi Inst Pharm",LJZ-9285-2024,1.0384,0000-0001-7138-3203,0,1,0.0,1,100.0,0
"Chan, Mei Wa",100.0,1,2.2668,73,9,University of Hong Kong; Alice Ho Miu Ling Nethersole Hospital; Kwong Wah Hospital,EPN-6156-2022,1.6137000000000001,,0,1,0.0,1,100.0,0
"Stonebraker, Ilana",100.0,1,0.49710000000000004,77,7,Indiana University Bloomington; Indiana University System; Purdue University; Purdue University System,GAU-9481-2022,0.32330000000000003,0000-0002-7348-5489,0,1,0.0,1,100.0,0
"Zhang, Tao",100.0,1,0.49710000000000004,77,7,Purdue University; Purdue University System; University of Colorado at Colorado Springs; University of Colorado System,JMK-5671-2023,0.32330000000000003,0000-0002-9640-5322,0,1,0.0,1,100.0,0
"Promann, Marlen",100.0,1,0.49710000000000004,77,7,Purdue University; Purdue University System,AAF-3866-2019,0.32330000000000003,0000-0002-0702-8191,0,1,0.0,1,100.0,0
"Petersen, Jakob Heide",100.0,1,0.4521,80,6,Technical University of Denmark; Nordea Bank Denmark; Copenhagen Lib,DMR-5982-2022,0.3153,,0,1,0.0,1,100.0,0
"Manuel, Sue",100.0,1,0.2923,80,6,Natl Inst Cardiovasc Outcomes Res; Loughborough University,DXN-3579-2022,0.21200000000000002,0000-0003-2181-388X,0,1,0.0,1,100.0,0
"Vasishta, Seema",100.0,1,0.4056,80,6,Punjab Engineering College (Deemed University),GGQ-7273-2022,0.2972,,0,1,0.0,1,100.0,0
"Fraser, Melissa",50.0,2,0.7556,80,6,San Jose State Univ SJSU; San Jose State University; California State University System; Lib Parliament; Queensland University of Technology (QUT),AAN-9987-2020,0.5379,0000-0001-8063-3489,0,2,0.0,1,100.0,0
"Maluleka, Jan R.",100.0,1,0.48560000000000003,80,6,University of South Africa,DZN-9297-2022,0.6923,0000-0002-3760-8162,1,0,100.0,1,0.0,0
"Baryshev, Ruslan",100.0,1,0.4521,80,6,Siberian Federal University,AAX-2277-2021,0.3153,0000-0002-4383-2830,1,0,100.0,1,0.0,0
"Dearnley, James",100.0,1,0.2923,80,6,Loughborough University,ERO-6624-2022,0.21200000000000002,,0,1,0.0,1,100.0,0
"Adeogun, Margaret O.",100.0,1,1.0176,80,6,Andrews University; University of Lagos,CAS-2737-2022,0.6923,,0,1,0.0,1,100.0,0
"Richards, Anna",100.0,1,0.4056,80,6,Kaiser Permanente; Stronger Together; CSIRO Environment; Commonwealth Scientific & Industrial Research Organisation (CSIRO); University of Sheffield,KDX-6027-2024,0.2972,,1,0,100.0,1,0.0,0
